dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,time
Wine Quality Red, 0.6392828971760951, 0.03832204247840024, 0.9360545708705816, 0.07691561700819521, 2.3999061942100526
Yacht Hydrodynamics, 7.708972728999285, 2.9582013265508516, 0.5767628744619041, 0.5212972492628575, 4.0612011551856995
Combined Cycle Power Plant, 4.043352907349071, 0.25683291593962354, 2.8813253099518774, 0.313218173002025, 9.64560683965683
Boston Housing, 4.247876390602981, 1.0708513612921755, 2.589451631323513, 0.15880685251144253, 2.769031798839569
Concrete Compression Strength, 6.3838168718422885, 0.5123637176509389, 3.2190505057175756, 0.20494880052350403, 4.782748329639435
Protein Structure, 4.723673346794335, 0.030106459400836484, 2.941793732743295, 0.07611473811141888, 56.18738083839416
Energy Efficiency, 1.9210846146310043, 0.3191661559012115, 1.1505997414188003, 0.5057248114854689, 6.777613282203674
Kin8nm, 0.17275523833071912, 0.00506775760148722, -0.48644665839383683, 0.022855344990342998, 18.518086850643158
Naval Propulsion, 0.006778568999461073, 0.0005226912028811011, -4.394818769879362, 0.06389935549124132, 25.069260227680207
Year Prediciton MSD, 9.113351759657798, 0.0, 3.4195407387991557, 0.0, 721.4327659606934
