dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,time
Boston Housing, 3.555600204127779, 0.9719740269127589, 2.515308699039892, 0.15781150351995105, 0.4606374502182007
Concrete Compression Strength, 5.847103806566787, 0.6647029466040256, 3.1393744888421393, 0.161334549339785, 0.5463808178901672
Protein Structure, 4.235651040700558, 0.038002184374391075, 2.841175486677373, 0.10913643911729667, 3.7842084884643556
Energy Efficiency, 1.0082717771532816, 0.40459690766753836, 1.100696153189553, 1.0255293382628239, 0.5719815611839294
Combined Cycle Power Plant, 3.483148686207307, 0.21947857385808495, 2.648932490474199, 0.10377361411659526, 3.1883794188499452
Naval Propulsion, 0.0014573045158944532, 0.00010594904983922685, -5.552273145332105, 0.0421029784557443, 4.254442715644837
Wine Quality Red, 0.6414552619866665, 0.040309318368075164, 0.9382016863855931, 0.06793284902816775, 0.6737520098686218
Yacht Hydrodynamics, 3.6812860101035723, 1.7828644382544743, 0.5707245660954164, 1.061305596285857, 0.7754644155502319
Kin8nm, 0.1470141320068999, 0.0041757940945051615, -0.5409977950091546, 0.03560093068016689, 16.254607319831848
