dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Yacht Hydrodynamics, 4.000241152653049, 1.6479909850941419, 0.38740228936466425, 0.4527336353659864, 1.049881953913648, 0.48603420403184855, 1.8004007578386596, 0.7815208738957211, 0.7505188039250115, 0.30294136158468127, 1.0081999897956848
Kin8nm, 0.2000437421788425, 0.04452645452056699, 68.71237881228521, 138.30541462412913, 0.11434790375875589, 0.022581010770186052, 0.2225649284264295, 0.04642077485803579, 0.10821702466767369, 0.024348680429115664, 3.2874783277511597
Naval Propulsion, 0.0012155187352539446, 9.37531199057312e-05, -5.650999300761085, 0.04577673357637337, 0.000549427707748397, 2.332192185102207e-05, 0.0010109815821147676, 3.3844254415874635e-05, 0.00046155387436637067, 1.6452421740329855e-05, 7.478935539722443
Year Prediciton MSD, 9.046305149632097, 0.0, 3.4364085892258074, 0.0, 4.509111821278977, 0.0, 8.616016171293499, 0.0, 4.1069043500145215, 0.0, 209.68879175186157
Wine Quality Red, 0.6720495184232796, 0.040711700410476725, 0.9825642265226833, 0.07584260706818767, 0.3660581563502016, 0.022824766419001476, 0.693777670071398, 0.0417451451622021, 0.3277195137211964, 0.026991877640697905, 1.0381157040596007
Combined Cycle Power Plant, 3.478424259416139, 0.19379142182975043, 2.647282277581384, 0.09001609231020356, 1.8424291412641183, 0.08055783756336317, 3.620998306725711, 0.19202451480684765, 1.7785691654615938, 0.12462889022362832, 3.9992945194244385
Protein Structure, 4.3641665037861745, 0.03850295496024084, 3.0054130057306225, 0.31505016654786594, 2.2912658034185256, 0.039329373318798364, 4.266908129400617, 0.04977747361712981, 1.9756423259820917, 0.02231350173276038, 20.727560138702394
Energy Efficiency, 0.9949306832167369, 0.39637536857863886, 0.8217213121494261, 0.3349735400649083, 0.40669091162711346, 0.11253520339662405, 0.7466596725558465, 0.18908548011441098, 0.33996876092873307, 0.07935649621674984, 24.80247805118561
Concrete Compression Strength, 5.60727097502563, 0.7042973505905518, 3.1662310596093324, 0.237139730767739, 2.9200827735970085, 0.3510261794491694, 4.981189324575019, 0.41992338033230364, 2.0611065509780113, 0.11305945298532377, 17.995354104042054
Boston Housing, 3.6278289918154614, 0.9506514997602216, 2.5532821212404966, 0.2205270757616252, 1.8062582683596875, 0.3438433649729012, 3.243912625537546, 0.4214143623035903, 1.437654357177859, 0.1187165085393589, 33.68276475667953
