
Wine Quality Red, 0.6287804800212433, 0.03928826105071235, 0.9178805024097226, 0.07409671713836281, 0.34766719434825033, 0.02148019228334835, 0.6858774042119338, 0.031024482410453857, 0.33821020986368355, 0.02041465236798006, 2.627055013179779
Yacht Hydrodynamics, 2.2493372992984093, 1.8293210259738102, 0.7979773058641804, 0.4201364261058262, 0.8281661270031533, 0.6308257867628063, 1.2964685540491574, 0.8812674455881263, 0.46830242704600417, 0.2640957396731335, 3.6080448508262633
Boston Housing, 3.9436173328015363, 0.8618034477496126, 2.793310363133286, 0.35599900765269293, 2.0571134248974494, 0.37453054753695053, 3.595389335281473, 0.41330722072009995, 1.5382759103840238, 0.09101924908326765, 3.359386074542999
Energy Efficiency, 0.7016463199797858, 0.1270836768232423, 0.9203445149524139, 0.45521440800574103, 0.33616090312553537, 0.04747353181561787, 0.6394785631264931, 0.0815281221503204, 0.3033176600009577, 0.04797456339091332, 4.342746829986572
Concrete Compression Strength, 4.99783153256321, 0.5602610445106495, 3.067877120458843, 0.18919518060775894, 2.671966373509007, 0.3120437418663546, 4.750580033866344, 0.3316321428185237, 2.078613660357337, 0.06653196427441307, 4.5427322626113895
Protein Structure, 3.7429712859778945, 0.025691930848952556, 2.6704838790161554, 0.019161844408580663, 1.9657882740500319, 0.016380669558680967, 3.5786052109112476, 0.02508570628589107, 1.6128169368612155, 0.009851874004590663, 30.418176651000977
Combined Cycle Power Plant, 3.4196478907546313, 0.21454817970548906, 2.6658612465750173, 0.10891891267618993, 1.825535692914545, 0.08228786886583984, 3.5094840410367483, 0.09985731361981569, 1.6839483481222033, 0.03450736728277217, 8.249615144729614
Naval Propulsion, 0.12479963210350034, 0.00033352540371993844, -0.6680808992732276, 0.0026205628464031523, 0.0752267150244574, 0.00030498921892898353, 0.14697833097848167, 0.0003460595618614499, 0.07175161595402427, 0.00013410795295014702, 23.50676131248474
Kin8nm, 0.1908203921967515, 0.00331263848724908, -0.2770165485539089, 0.027249570262982737, 0.10886884742397349, 0.002223443698231519, 0.19880405045714597, 0.0026860608005764394, 0.0899352030331725, 0.0011374339729960416, 33.72989799976349
Year Prediciton MSD, 9.056723392470268, 0.0, 3.491513912887937, 0.0, 4.6707448548156325, 0.0, 9.084111858715172, 0.0, 4.413367003899539, 0.0, 1055.526752948761
