dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,time
Wine Quality Red, 0.6378201662522758, 0.041011933168817405, 0.9374789685570896, 0.06799802049737297, 2.2795096158981325
Yacht Hydrodynamics, 8.657904146313184, 2.863610287914354, 0.8109023658799404, 0.47661753845456006, 3.7986522674560548
Combined Cycle Power Plant, 3.9670630833538354, 0.27055493995471674, 2.84491552172931, 0.2703158469704304, 7.388679182529449
Boston Housing, 4.4546192046581, 1.3005747062175927, 2.647054530031183, 0.18816418356177714, 2.484185242652893
Protein Structure, 4.526402079685135, 0.03570941886572745, 2.890878966935654, 0.08474992560558581, 34.41412482261658
Concrete Compression Strength, 6.3731574696368165, 0.6338186684210716, 3.1747265790743464, 0.16527909584983658, 3.4873925924301146
Energy Efficiency, 1.8321767804795137, 0.4425891968188003, 1.7300644667088612, 1.829315753500765, 5.374947965145111
Kin8nm, 0.1587306784518825, 0.003576356426848507, -0.5047759874578442, 0.03254166626093501, 9.107151556015015
Naval Propulsion, 0.002442181628816482, 0.0002731256562953228, -5.423032441649054, 0.042477408937928736, 31.201259112358095
