dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-reliability-mean,CRPS-reliability-std,CRPS-resolution-mean,CRPS-resolution-std,CRPS-uncertainty-mean,CRPS-uncertainty-std,time
Naval Propulsion, 0.0012155187352539446, 9.37531199057312e-05, -5.650999300761085, 0.04577673357637337, 0.000549427707748397, 2.3321921851021997e-05, 6.717193068445551e-05, 1.0062391438485026e-05, 0.008022944999482766, 9.896823424303115e-05, 0.008505200776546703, 0.00010021485142675369, 6.12235198020935
Wine Quality Red, 0.6720495184232796, 0.040711700410476725, 0.9825642265226833, 0.07584260706818767, 0.3660581563502017, 0.022824766419001438, 0.0615623732100599, 0.01908702971995812, 0.12235187310985811, 0.022519800962073955, 0.42684765625, 0.02918206958775893, 0.9854012846946716
Yacht Hydrodynamics, 4.000241152653049, 1.6479909850941419, 0.38740228936466425, 0.4527336353659864, 1.049881953913648, 0.48603420403184855, 0.5009842879648947, 0.33939716257098484, 5.979879649347814, 1.329689525186301, 6.528777315296567, 1.547551901508245, 1.0092976093292236
Protein Structure, 4.3314981623551505, 0.0325726958775771, 3.0227810246478177, 0.2589371027210639, 2.2563857730660777, 0.033948521829206706, 0.11377638452504824, 0.008123428035340857, 1.2684598556543807, 0.03588862818956298, 3.411069244195411, 0.01629478053122132, 8.508447885513306
Combined Cycle Power Plant, 3.478424259416139, 0.19379142182975043, 2.647282277581384, 0.09001609231020356, 1.8424291412641174, 0.08055783756336286, 0.2325010109160741, 0.04451664818375427, 8.160529176478622, 0.14769986107392757, 9.770457306826668, 0.13739901990517495, 3.8775114178657533
Boston Housing, 3.580447878434434, 0.9406010531443706, 2.555591239083409, 0.23731338127048396, 1.7768910831401772, 0.33510901418044053, 0.3483433501436946, 0.19943846341253682, 3.33187902594239, 0.5844546652302645, 4.7604267589388725, 0.6812153720913363, 0.6982314348220825
Concrete Compression Strength, 5.553457000412335, 0.6579390283609153, 3.1732438478375826, 0.24649705562743876, 2.894418681909043, 0.31436605180567173, 0.4934785355174117, 0.16379818984612052, 6.776884032134282, 0.48728865106292857, 9.177824178525912, 0.47975977090708594, 0.9713575720787049
Energy Efficiency, 0.9866489922693005, 0.40367607710348613, 0.8233444212396235, 0.38094007211916464, 0.3997291980475129, 0.11469630324336932, 0.05344076320862009, 0.024293698317608834, 5.31110012984318, 0.2628249170085923, 5.657388564682072, 0.2716214616588569, 1.393458616733551
Kin8nm, 0.2000437421788425, 0.04452645452056699, 68.71237881228521, 138.30541462412913, 0.11434790375875588, 0.022581010770186018, 0.021246471317365047, 0.012741581853473573, 0.05801310642845651, 0.011489160993454537, 0.15111453886984733, 0.003826188626338305, 2.7500559091567993
