dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
cpu_act, 2.437521457672119, 0.3711839020252228, 2.4773261971664637, 1.0557396889109931, 1.1939737872384701, 0.025597866770507165, 2.240785305348498, 0.02538860692805053, 1.0468115181100277, 0.02099324900774999, 302.31506938404505
Bike_Sharing_Demand, 101.7677971464352, 2.685170323695846, 59.42633954739603, 2.8088993787597176, 65.0131560795524, 1.9593558202788928, 70.25890535543545, 1.9691668522237806, 5.2457492758830435, 0.018702211512691334, 378.32325167126123
wine_quality, 0.6874426603317261, 0.02099316194653511, 1.018585792444706, 0.028950602860581542, 0.38185413880391933, 0.011692181110478914, 0.747949248131866, 0.017194997497749224, 0.36609510932794675, 0.012630241757825959, 396.8368753327264
superconduct, 10.319951595521248, 0.4027280233549213, 3.6152111487379823, 0.07329525379418785, 4.93871200320903, 0.18530452832316976, 8.401416939541562, 0.19788266995107337, 3.462704936332532, 0.023601372820096767, 612.1594401730431
yprop_4_1, 0.09084880694954728, 0.00226440874847084, -0.9820232354613405, 0.02379069920805596, 0.054030342900954494, 0.0009189774354708119, 0.10499980984512704, 0.0009747492300690169, 0.05096946694417254, 0.00017739164600512154, 653.1848112742106
MiamiHousing2016, 0.19725028003696574, 0.009336836473756929, -0.350190998608449, 0.04369330608881651, 0.1033517168507678, 0.0037327332411332195, 0.1968101296122796, 0.004146480589029378, 0.09345841276151179, 0.0010722069350315652, 1145.0192586051094
sulfur, 0.09054829604130905, 0.001154141054858855, -0.9969030431277051, 0.007419932326066036, 0.054066582759080765, 0.00045162083147216837, 0.10472963829589198, 0.0005556575937851933, 0.05066305553681121, 0.00016598269640006295, 1315.5445558759902
house_16H, 0.6024551038046327, 0.06468385039974897, 0.4534618490291227, 0.06042303384846031, 0.2354573261615358, 0.008500771121361387, 0.4516962027153726, 0.017840287947768516, 0.21623887655383672, 0.010675666518783974, 1408.6464995013343
Brazilian_houses, 0.12119840864329864, 0.024895607380458595, -0.9819606523224051, 0.017182612445580447, 0.058559119851335585, 0.001676999826112163, 0.11196828741993779, 0.0028285277569995056, 0.053409167568602194, 0.001223760124354631, 1459.660832643509
elevators, 0.08841865855732998, 6.547070480554881e-05, -1.0077150606411385, 0.0007842254926850465, 0.053675941217976246, 0.00011486762655825985, 0.10380305935830095, 0.0001587879964130158, 0.050127118140324695, 6.72366762082328e-05, 1640.418097813924
houses, 0.27382243944889617, 0.005622933896544665, 0.002873340063425042, 0.01858717906035471, 0.1451830013612712, 0.0018061177625514203, 0.28018550488603217, 0.0021847161824062843, 0.13500250352476095, 0.000870897574479641, 1628.2822011311848
Ailerons, 0.08844467368296788, 5.11564665568823e-06, -1.006173073150813, 5.633211666077103e-05, 0.05376627263078118, 0.0001551987749181901, 0.10397060721780288, 0.000181848456347419, 0.05020433458702169, 0.00010563244503230709, 1751.4008229838478
house_sales, 0.20138710514243044, 0.0035966875091238294, -0.29286081840366457, 0.012142266532839828, 0.1063968951918106, 0.0015685239320207978, 0.2063454942177454, 0.0016272942260603536, 0.09994859902593477, 0.0006067103320971746, 1799.9992639488644
medical_charges, 0.11108388193908379, 0.0019229498695866154, -0.804595354215651, 0.016307874247701318, 0.058174001607259246, 0.00063364382166764, 0.11930601848953692, 0.0006577035079006943, 0.061132016882277665, 6.952015656926994e-05, 8985.235618246927
