dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time
Wine Quality Red, 0.6431726642101414, 0.03894849534524595, 0.9413930425055984, 0.07145506386977357, 0.3554637949078576, 0.020867043095073097, 0.6919683989619987, 0.03135553425903541, 0.33650460405414107, 0.019174711373463105, 0.6993637800216674
Yacht Hydrodynamics, 3.6814645755879005, 1.7827226669484098, 0.4782540917003466, 0.7063239902039765, 1.0036213012335418, 0.49544504474938006, 1.7848479774426913, 0.8830058389361954, 0.7812266762091493, 0.3925054365280323, 0.7171571850776672
Energy Efficiency, 1.002924332022301, 0.4031669507388034, 0.8808576318136273, 0.43911865091248425, 0.4068676531385017, 0.1139074372069642, 0.7454128279679332, 0.18951656327189678, 0.3385451748294316, 0.07906670491212894, 0.5412469983100892
Concrete Compression Strength, 5.775962662605937, 0.6314262103394721, 3.1656223971839976, 0.282904699894584, 3.027746211101322, 0.320444707564451, 5.484564765755007, 0.45727030610853653, 2.456818554653686, 0.20891191089692882, 0.6644032001495361
Protein Structure, 4.249008647757183, 0.04230047121229314, 2.8350350830608706, 0.10926456616526196, 2.1872460458583536, 0.030238815971827863, 4.038420146389968, 0.036856935920922665, 1.8511741005316142, 0.011391254592341825, 3.7505470275878907
Combined Cycle Power Plant, 3.469386083152642, 0.18962255222631622, 2.640532350539219, 0.0918847094438308, 1.8334248809438463, 0.07119839214171429, 3.604735067144375, 0.1673173782540244, 1.771310186200529, 0.1171824646487168, 3.367404043674469
Year Prediciton MSD, 9.046305149632097, 0.0, 3.4364085892258074, 0.0, 4.509111821278977, 0.0, 8.616016171293499, 0.0, 4.1069043500145215, 0.0, 202.53193187713623
Kin8nm, 0.1459455035615513, 0.0031707544246921144, -0.5459617703225872, 0.03267123175185429, 0.08046333399098621, 0.0019083809286073441, 0.14436999365886607, 0.004102024961717256, 0.06390665966787984, 0.002708005711748546, 16.87218278646469
