JobID|JobName|Partition|NodeList|ReqMem|AllocCPUS|Elapsed|State
11699787_16|LSSboost_openml|zen5_mpi|node742|60G|1|00:11:24|FAILED
11699787_17|LSSboost_openml|zen5_mpi|node742|60G|1|00:05:59|FAILED
11699787_18|LSSboost_openml|zen5_mpi|node742|60G|1|21:09:52|CANCELLED by 2510528
11699788_0|LSSboost_openml|zen5_mpi|node743|60G|1|00:06:05|FAILED
11699788_1|LSSboost_openml|zen5_mpi|node703|60G|1|00:07:21|FAILED
11699788_2|LSSboost_openml|zen5_mpi|node742|60G|1|00:10:58|FAILED
11699788_3|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:20|FAILED
11699788_4|LSSboost_openml|zen5_mpi|node700|60G|1|00:09:57|FAILED
11699788_5|LSSboost_openml|zen5_mpi|node708|60G|1|00:10:26|FAILED
11699788_6|LSSboost_openml|zen5_mpi|node705|60G|1|00:12:23|FAILED
11699788_7|LSSboost_openml|zen5_mpi|node743|60G|1|00:19:29|FAILED
11699788_8|LSSboost_openml|zen5_mpi|node714|60G|1|00:05:35|FAILED
11699788_9|LSSboost_openml|zen5_mpi|node742|60G|1|00:06:34|FAILED
11699788_10|LSSboost_openml|zen5_mpi|node743|60G|1|02:20:12|FAILED
11699788_11|LSSboost_openml|zen5_mpi|node710|60G|1|00:15:19|FAILED
11699788_12|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:40|FAILED
11699788_13|LSSboost_openml|zen5_mpi|node704|60G|1|00:53:06|FAILED
11699788_14|LSSboost_openml|zen5_mpi|node704|60G|1|00:11:56|FAILED
11699788_15|LSSboost_openml|zen5_mpi|node703|60G|1|00:18:37|FAILED
11699788_16|LSSboost_openml|zen5_mpi|node714|60G|1|00:08:07|FAILED
11699788_17|LSSboost_openml|zen5_mpi|node743|60G|1|00:05:32|FAILED
11699788_18|LSSboost_openml|zen5_mpi|node714|60G|1|07:10:26|OUT_OF_MEMORY
11699804_0|DGB-XGB_openml|zen5_mpi|node714|60G|1|00:08:38|FAILED
11699804_1|DGB-XGB_openml|zen5_mpi|node742|60G|1|00:15:35|FAILED
11699804_2|DGB-XGB_openml|zen5_mpi|node700|60G|1|00:14:11|FAILED
11699804_3|DGB-XGB_openml|zen5_mpi|node700|60G|1|00:09:51|FAILED
11699804_4|DGB-XGB_openml|zen5_mpi|node742|60G|1|00:14:51|FAILED
11699804_5|DGB-XGB_openml|zen5_mpi|node742|60G|1|00:19:11|FAILED
11699804_6|DGB-XGB_openml|zen5_mpi|node742|60G|1|00:23:03|FAILED
11699804_7|DGB-XGB_openml|zen5_mpi|node743|60G|1|03:15:44|FAILED
11699804_8|DGB-XGB_openml|zen5_mpi|node708|60G|1|00:13:19|FAILED
11699804_9|DGB-XGB_openml|zen5_mpi|node743|60G|1|00:12:51|FAILED
11699804_10|DGB-XGB_openml|zen5_mpi|node714|60G|1|04:32:31|FAILED
11699804_11|DGB-XGB_openml|zen5_mpi|node705|60G|1|00:19:58|FAILED
11699804_12|DGB-XGB_openml|zen5_mpi|node704|60G|1|00:12:15|FAILED
11699804_13|DGB-XGB_openml|zen5_mpi|node709|60G|1|00:00:03|FAILED
11699804_14|DGB-XGB_openml|zen5_mpi|node714|60G|1|00:17:16|FAILED
11699804_15|DGB-XGB_openml|zen5_mpi|node709|60G|1|00:43:43|FAILED
11699804_16|DGB-XGB_openml|zen5_mpi|node709|60G|1|00:10:27|FAILED
11699804_17|DGB-XGB_openml|zen5_mpi|node743|60G|1|00:06:53|FAILED
11699804_18|DGB-XGB_openml|zen5_mpi|node700|60G|1|18:49:01|CANCELLED by 2510528
11716762_0|LSSboost_openml|zen5_mpi|node700|60G|1|00:07:17|FAILED
11716762_1|LSSboost_openml|zen5_mpi|node701|60G|1|00:08:42|FAILED
11716762_2|LSSboost_openml|zen5_mpi|node703|60G|1|00:07:55|FAILED
11716762_3|LSSboost_openml|zen5_mpi|node712|60G|1|00:05:04|FAILED
11716762_4|LSSboost_openml|zen5_mpi|node712|60G|1|00:09:04|FAILED
11716762_5|LSSboost_openml|zen5_mpi|node712|60G|1|00:09:23|FAILED
11716762_6|LSSboost_openml|zen5_mpi|node713|60G|1|00:10:34|FAILED
11716762_7|LSSboost_openml|zen5_mpi|node715|60G|1|00:17:05|FAILED
11716762_8|LSSboost_openml|zen5_mpi|node718|60G|1|00:06:36|FAILED
11716762_9|LSSboost_openml|zen5_mpi|node718|60G|1|00:07:23|FAILED
11716762_10|LSSboost_openml|zen5_mpi|node740|60G|1|01:27:25|CANCELLED by 2510528
11716762_11|LSSboost_openml|zen5_mpi|node740|60G|1|00:15:29|FAILED
11716762_12|LSSboost_openml|zen5_mpi|node740|60G|1|00:08:44|FAILED
11716762_13|LSSboost_openml|zen5_mpi|node742|60G|1|00:40:40|FAILED
