dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Yacht Hydrodynamics,14.82589601318929,3.0629488561307823,10.024279672913998,16.787170165796166,8.295322742830358,1.6776515662266613,14.325937066844753,2.3215632799289274,6.030614324014396,2.8269430653326997,0.28303366899490356,1149.0526794791222,1.753129357033885,0.4094139786616532,5.493899118423462,0.7128190776845993,4.497655062024603,1.8351923027152948,3.9148945124939836,0.8626166006503295
Boston Housing,3.750883275322881,1.1038151006980401,2.593382270265813,0.2370768888609175,1.8674874085092306,0.3904220328580677,3.3940695849085136,0.49948546636913216,1.5265821763992835,0.1611283803808748,0.20725880861282348,1338.400745177269,0.5626365430429552,0.10078014041285752,1.28319869780073,0.2501073666686207,0.6455436532283347,0.2171514501981108,0.8304596313573398,0.17906708832218318
Protein Structure,4.308807457240511,0.03144008156662805,3.0336311326172334,0.38899970892827124,2.2357639660702757,0.025688640738804912,4.149853057870042,0.0498955985757219,1.9140890917997666,0.0334310279034381,1.7290590286254883,11287.475883102417,0.6049240192300521,0.00800128279805092,1.5725892160262265,0.021481489844994654,0.7829911980972842,0.007823577087894008,0.9868348111178543,0.010808344583858502
Combined Cycle Power Plant,3.4830843644027096,0.21035090445504367,2.6515807604118495,0.09946654692774828,1.8491270732553915,0.08167871588211946,3.6432667213984162,0.22346985768349376,1.7941396481430238,0.15886960588068855,0.7467864513397217,3305.820001292229,0.6364215392776252,0.05113990427303156,1.2910172752771012,0.05653386483308263,0.5238739044219756,0.023912427154082372,0.8171042396589006,0.036835558331256395
Year Prediciton MSD,10.242623055791903,0.0,3.604878149380275,0.0,5.204583490784124,0.0,11.271739117279314,0.0,6.06715562649519,0.0,1130.9733436107635,91833.36717748642,2.069843999612903,0.0,3.4173219161325576,0.0,1.6378871485409954,0.0,2.3750176880954856,0.0
