Boston Housing,2.855907669385474,0.5858419303025312,2.735410739543674,0.42916528718262514,4.5953984,0.6298935,0.6287550926208496,1.7301258087158202,0.5128610894591261,0.12069463444894414,1.045251440627902,0.15528001746534398,0.5497833449414229,0.14613275164077041,0.7026319583428171,0.12685977359640077
Wine Quality Red,0.6240181211720696,0.03954319930902119,1.7624432810906625,0.5639279334480396,0.3821609,0.04975914,0.5682840466499328,1.6509276032447815,0.12350917411325754,0.02108522340236912,0.24371970780193805,0.016188557591396254,0.14044578841937078,0.02355767746426905,0.16922489011152214,0.017432609564083476
Concrete Compression Strength,4.321627624053051,0.594084871259599,2.8762410214213388,0.11035055133374054,9.272924,0.38267013,3.420185399055481,5.028341281414032,0.807351203911667,0.10209559992362671,1.5068817037304207,0.17542980980884168,0.8016668790985119,0.1132493174051825,1.0386332622468666,0.11263352751145224
Protein Structure,4.092487852064998,0.025014742219993395,2.8201927018966715,0.006246017069704485,3.6192086,0.013360204,14.21158480644226,18.124808406829835,0.6704243597934785,0.008028110792729182,1.5283667075285838,0.010928337804818741,0.817174339184932,0.007780746672551548,1.0053218021689982,0.006688400880939212
Yacht Hydrodynamics,0.6655305593304892,0.37310328038997576,0.31578974471397064,0.4314479933813001,6.4759436,1.5233613,5.500365662574768,7.742603647708893,0.08019042193320507,0.028914216218634266,0.1748085537264424,0.09319467924498648,0.10518492400106609,0.0634295907231336,0.1200612998869045,0.060712777878939424
Energy Efficiency,0.39122239014587995,0.07751207330268511,0.6866248655013462,0.16637311784864947,5.6937156,0.27140254,6.653459227085113,9.075388920307159,0.092892280729721,0.01634483509675462,0.13718618623807832,0.018349114266146032,0.09617915637360828,0.017627742020986086,0.10875254111380254,0.015602211807448604
Combined Cycle Power Plant,3.486154135872473,0.20164931035731265,2.6949707560068594,0.09215693187283885,9.862707,0.255535,9.318976426124573,11.87491706609726,0.6583172119695133,0.09656495059248026,1.284628799805198,0.045856020461287804,0.6374243810081861,0.09273176277459964,0.8601234642609656,0.07186497303511484
Kin8nm,0.1393505506427462,0.0036386917230065105,-0.5419142832239336,0.06420991135589527,0.15312414,0.011575701,9.691774594783784,12.32917091846466,0.02650300174999149,0.00250112229613779,0.0536222143624979,0.0012629420420703535,0.024692717967449727,0.0024921454810687155,0.0349393113599797,0.0017735124920121095
Naval Propulsion,0.001673778147336278,5.35531687322757e-05,-0.7442998464344347,1.0100964278658349,0.2886742,0.43259135,14.278727424144744,17.750189208984374,0.04748496979955594,0.06953779296937536,0.0006025030404204401,1.1564383333586766e-05,0.04748412091704783,0.069536137700826,0.031857197919008075,0.04635822419437235
Year Prediciton MSD,9.072724383022035,0.0,3.614215471703501,0.0,5.903232,0.0,21.641274213790894,43.624829053878784,1.9896916605386425,0.0,3.194811485408894,0.0,1.304989352228109,0.0,2.1631641660585483,0.0
