dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std
Wine Quality Red,0.6489037210022508,0.03666931603563249,0.9708835605202759,0.0688299647026593,0.35996772138403127,0.02118472140128132,0.6791124824838992,0.03051703743705405,0.319144761099868,0.016956090833038208,0.6895498514175415,1135.3825242519379,0.11529894764966764,0.010028426137256238,0.2487641920149326,0.014261626130551217,0.11337004547320764,0.008737281838515867,0.15914439504593594,0.009444850082219257
Naval Propulsion,0.0010134783991931826,0.0005543815369904866,-5.441246419065611,0.6909107968713853,0.0004793869136211146,7.635453158519204e-05,0.0010532866389704086,0.00021764337920338324,0.0005738997253492938,0.00016809154905691684,13.78319047689438,1364.4061706066132,0.00017680906604314995,5.639943934918369e-05,0.00030579914538078943,3.457207095985702e-05,0.00016922686758296862,2.9843200801759584e-05,0.0002172783596689693,3.718961749938409e-05
Energy Efficiency,0.5165040686604055,0.1274955889812047,0.7772720970201344,0.5159006586124454,0.26477338818904067,0.07714789123098233,0.492289106625239,0.17930704003516007,0.22751571843619836,0.10397507536461642,2.64342622756958,2217.8619713783264,0.09361865751064637,0.0356915855515989,0.1882385835139782,0.06560722633513677,0.06791739354658383,0.013364731399124766,0.11659154485706946,0.03402697107972388
Boston Housing,4.141712486903824,0.9749357916964791,2.708027971573945,0.17839638332510266,2.1183464533061844,0.3513532499076067,3.8616272637885998,0.560305012909386,1.7432808104824162,0.26591549131141184,0.7648569583892822,2237.5405735969543,0.6832420382153217,0.11288962222458394,1.4893500124706942,0.2467624198848984,0.6206578311145564,0.14946617550165955,0.9310832939335242,0.1474347408885591
Protein Structure,4.672196889002936,0.27702254165823,2.883352038725033,0.08338818844690597,2.3769806257525703,0.16663516935861883,4.415188965406796,0.371145268720157,2.038208339654226,0.20584749553796763,33.256830072402956,9435.522981405258,0.6890660124762222,0.044026104863380496,1.6915106371913364,0.13318861700771414,0.741826844353078,0.02637485684194309,1.0408011646735456,0.06694268217715076
Concrete Compression Strength,6.175297832528708,0.7721534784365721,3.3623608340740745,0.3876461865520938,3.2684762112168935,0.37281953542141466,5.873026986354657,0.6300429167437998,2.604550775137763,0.3190783182756134,2.878136229515076,2818.166307926178,1.092693328146575,0.1363595589706432,2.308974341614607,0.2864080605115057,0.906979355936719,0.15226747859259016,1.436215675232634,0.16177800201759035
Combined Cycle Power Plant,3.7277348015861564,0.19239635322780343,2.7622205240210818,0.10267476501896614,1.9863382659013418,0.0931538711353886,3.6355116224133766,0.16529697918874342,1.6491733565120346,0.08114118109424422,7.314334654808045,3418.973668575287,0.6686603157851863,0.03588251880495366,1.3949079938388296,0.06840529418977588,0.5619205488218242,0.030733710376561325,0.8751629528152801,0.04016467830579185
Kin8nm,0.13392105014704664,0.005173402342963282,-0.6272756164561202,0.03569112685213047,0.07467591444079444,0.002558557452275088,0.13720062895231053,0.0051601421831000095,0.06252471451151609,0.0028379599851231815,9.858094072341919,2646.851877450943,0.025142409254214775,0.0012067039923796669,0.05299768835749278,0.00189719990324035,0.019929035041110287,0.000688875515035622,0.03268971088427262,0.00111787450718271
Year Prediciton MSD,9.191658829532795,0.0,3.469962092491453,0.0,4.736097575426588,0.0,9.074064941975324,0.0,4.337967366548736,0.0,1540.999905347824,94832.75894713402,1.822260739662257,0.0,3.344388284287749,0.0,1.0662168913517187,0.0,2.0776219717672415,0.0
Yacht Hydrodynamics,4.164731920749257,5.069983296075425,90.93028021087578,360.4802011258427,1.636347412849446,2.2685372294941257,1.9374812409170754,2.2969397448878377,0.3011338280676298,0.11988196607123786,0.7929553508758544,792.2876007556915,0.44880293006457483,0.9545932066701001,0.8956574958948785,1.1653249616505978,1.0538296614255827,1.4431596211235247,0.7994300291283453,1.1279700423653105
