suite,config,model,natural_gradient,mode,stabilization,standardize,safety,job,source_file,dset,RMSE-mean,RMSE-std,NLL-mean,NLL-std,CRPS-mean,CRPS-std,CRPS-calibration-mean,CRPS-calibration-std,CRPS-sharpness-mean,CRPS-sharpness-std,time_run,time_HP,WQL01-mean,WQL01-std,WQL05-mean,WQL05-std,WQL09-mean,WQL09-std,WQL_avg-mean,WQL_avg-std,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Yacht Hydrodynamics, 0.5788695708986362, 0.19014625601930593, 2.0438741291371487, 2.3479305441331717, 0.26565063425452695, 0.09476879895240974, 50.652265310287476,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Wine Quality Red, 0.6157695847854596, 0.04210220097107186, 1.1384054669084542, 0.28344662936158527, 0.3445407833275638, 0.022214986252527227, 59.266237711906435,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Energy Efficiency, 0.46903754276895127, 0.05819670740723006, 0.7061920813884421, 0.6050205605191793, 0.2384194563349859, 0.022637590645184866, 110.97653292417526,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Concrete Compression Strength, 5.018780524269802, 0.5459426144987777, 3.076676825713899, 0.1835391091532031, 2.664356657982921, 0.25589590322616557, 123.61649497747422,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Combined Cycle Power Plant, 3.620162513472228, 0.19462925604066034, 2.7925562068171157, 0.20156959560652063, 1.945535293343767, 0.07586981393688046, 127.03811489343643,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Boston Housing, 2.7736519188245543, 0.4075685167247837, 2.6010613638053264, 0.27283539328486134, 1.535934731665979, 0.17306124795923183, 134.09921144247056,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Kin8nm, 0.16919876669727235, 0.004402081856195327, -0.41157318418137756, 0.034115906936409056, 0.09402341646942525, 0.002123995770646719, 231.86712311506272,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Protein Structure, 4.516176123450118, 0.040244098284663035, 2.851461174047727, 0.019882714758304006, 2.4664692893622058, 0.028100280392242428, 1203.4953387737273,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Naval Propulsion, 0.002180843539214535, 8.673845678075761e-05, -4.934909438056162, 0.03492829983097729, 0.0011274101963745853, 3.897229724492084e-05, 348.9435616970062,,,,,,,,,,,,,,
uci,NGboost/natural/None/None,NGboost,True,,,,,,NGboost_natural_crps_calibration_sharpness.csv,Year Prediciton MSD, 9.14822609846608, 0.0, 3.4740489834100914, 0.0, 6.023763157871851, 0.0,  18029.45107603073,,,,,,,,,,,,,,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Yacht Hydrodynamics,2.731297101523699,0.9384510573188706,2.374900301583095,0.11256935276885562,1.413051048577632,0.29263408503818517,3.357053819394969,0.28938117475181346,1.9440027708173369,0.06441364975862038,2.4502301931381227,221.46924986839295,0.471992304391384,0.05120679833105875,0.6770234025831758,0.21936689835368253,0.6723227079306551,0.16416103940616708,0.6071128049684051,0.13622203405070818,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Boston Housing,3.062422645964512,0.8433196120476106,2.4747849990953092,0.2347249016357481,1.5411560549708514,0.28413458390366336,3.195394352984081,0.2878692962512666,1.654238298013229,0.07127988211051314,6.522447764873505,702.5616430163384,0.48527491838767267,0.09407570486298254,0.997522092374699,0.18642028318016324,0.5987789964850745,0.16299361888309605,0.693858669082482,0.1316506893089964,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Concrete Compression Strength,5.956726937539154,0.476714340902901,3.2291456588832688,0.19862993156383094,3.12633850451968,0.2474521923110286,6.607008320750109,0.3080722597123213,3.480669816230427,0.18044489087975896,31.382113647460937,3192.3922297358513,1.1135406539722563,0.1188015908302494,2.009654883000007,0.200405781870888,1.0788093168086677,0.11081919719730461,1.4006682845936438,0.10415729705337552,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Energy Efficiency,0.6587969311165731,0.09417238729946006,1.0222735715806461,0.08107964145723424,0.3638468542192773,0.03913068128416756,0.8342860403651888,0.0600817885858477,0.4704391861459117,0.024968627098959313,47.665659356117246,3684.111483561993,0.1319664045498369,0.015523738035645664,0.22799677564420612,0.02899357924316193,0.12799577016342475,0.013969305469291112,0.16265298345248924,0.01741611175204341,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Wine Quality Red,0.5898696503935353,0.04635870187230521,0.931737088971946,0.044273277983512035,0.3352856109484969,0.021533600962763008,0.7591906222675316,0.018569493519862045,0.4239050113190347,0.0065576333409129856,0.259177565574646,142.6293724298477,0.11546764636069437,0.007942316761423441,0.21898375314054172,0.01634084445368067,0.1128508159722906,0.00750484079703097,0.14910073849117556,0.009207599479195026,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Naval Propulsion,0.0035009350228091367,0.0026012978484831815,-3.540666820658754,0.12002436614276121,0.003045748658980613,0.0005977359228456679,0.009015298823636138,0.0005979655323542853,0.005969550164655527,2.2091886550535884e-05,0.8786737084388733,324.9073194742203,0.001482444575139228,0.00022754426918242056,0.0009191313028508363,0.0005470203352277008,0.001443828743017495,0.00014757259612436445,0.001281801540335853,0.0003001361479841542,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Combined Cycle Power Plant,3.887506590407284,0.16934896661697227,3.624255909425701,0.003547958450345335,3.8473521993251913,0.03147227774336273,11.915274321462562,0.05611424083388844,8.067922122137368,0.03688346531168042,2.1344273686408997,1064.8791333675385,1.8774650023702875,0.013815089858520842,1.4135482762169522,0.038450075703484306,1.8409542388907176,0.016411739533102997,1.7106558391593194,0.014843102953830657,
uci,GPboost/?/None/None,GPboost,,,,,,,uci_GPboost.csv,Kin8nm,0.11221162581661785,0.0034074012064327455,-0.34575652749437663,0.006009223814379529,0.07996108366793224,0.0011780140509894906,0.22332947790327298,0.00141041097238261,0.14336839423534076,0.000830688945628772,2.7789028525352477,1197.7730180859567,0.03299417126117762,0.00046699941266996244,0.04343909105379198,0.0013397402646927942,0.03317498201199493,0.00040940846302084936,0.036536081442321504,0.0004697670043949298,
